imagen,video,audio,animal,animalLabel,animalDescription,species,speciesLabel,estudio,estudioLabel
,,,http://www.wikidata.org/entity/Q5270723,Diamond,"Sir Isaac Newton's favorite dog, according to legend",http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5288274,Dog of Osu,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5296630,Donnie,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5297016,Dookie,dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5347190,Efbe's Hidalgo At Goodspice,Canadian dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5368312,Elwood,2007 winner of the World's Ugliest Dog Contest,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Endal%20Dickin.jpg,,,http://www.wikidata.org/entity/Q5375926,Endal,perro de servicio,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5421767,Exquisite Model of Ware,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5445521,Ferry v. Rauhfelsen of Giralda,doberman Pinscher dog (1937–1943),http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5446279,Fiacre's First and Foremost,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5446898,Field Dog Stud Book,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5477102,Foxcliffe Hickory Wind,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5494558,Fred Basset,greyhound dog which was owned and raced by Australian comedy duo Hamish & Andy,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Gabi.jpg,,,http://www.wikidata.org/entity/Q5515388,Gabi,belgrade Zoo guard dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5520627,Gander,Newfoundland dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5535907,George,New Zealand dog (died 2007),http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5559280,Gibson,dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5574114,Gnasher,Comic strip character from The Beano,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Gunner%20%28dog%29.jpg,,,http://www.wikidata.org/entity/Q5619202,Gunner,dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Faultless.jpg,,,http://www.wikidata.org/entity/Q5686986,Haymarket Faultless,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5694743,Heaven Sent Brandy,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5698005,Heena,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5724426,Becerrillo,perro de combate del ejército castellano,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5731924,Boneco,perro callejero argentino,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5767169,Chonino,perro policía argentino,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Perro%20Fernando.jpg,,,http://www.wikidata.org/entity/Q5859102,Fernando (perro),,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Horand%20von%20Grafrath%20SZ1%20aka%20Hektor%20Linksrheim.jpg,,,http://www.wikidata.org/entity/Q5902587,Horand von Grafrath,first German Shepherd dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Horrie%20Dog.jpg,,,http://www.wikidata.org/entity/Q5905086,Horrie the Wog Dog,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5928231,Huddersfield Ben,Yorkshire terrier dog,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5942706,Hungargunn Bear It'n Mind,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q5958984,Hypnodog,,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/IMG%207373%20%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%99%E0%B8%B1%E0%B8%82%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B9%89%E0%B8%A2%E0%B8%87%20Dogs%20of%20King%20Rama%209%20Photographed%20by%20Trisorn%20Triboon.jpg,,,http://www.wikidata.org/entity/Q5970618,Thong Daeng,the Dog of King Rama 9 of Thailand.,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
,,,http://www.wikidata.org/entity/Q6052966,Orion (perro),dog that rescued people,http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
http://commons.wikimedia.org/wiki/Special:FilePath/Perro-Paco.jpg,,,http://www.wikidata.org/entity/Q6072863,Perro Paco,perro callejero popular de Madrid (España),http://www.wikidata.org/entity/Q144,perro,http://www.wikidata.org/entity/Q465924,cinología
