animalLabel,animalDescription,speciesLabel,estudioLabel
Abuwtiyuw,"Egyptian dog, one of the earliest documented domestic animals",perro,cinología
Blondi,perra pastor alemán de Adolf Hitler,perro,cinología
Hachikō,"perro de raza Akita, famoso por la lealtad a su amo",perro,cinología
Pickles,dog,perro,cinología
Mancs,Hungarian rescue dog,perro,cinología
Enzo,perro,perro,cinología
Snuppy,snuppy dibujo,perro,cinología
Red Dog,perro,perro,cinología
Sergeant Stubby,perro de guerra del ejército estadounidense que sirvió durante la Primera Guerra Mundial,perro,cinología
Strongheart,dog (actor),perro,cinología
Balto,perro de trineo famoso,perro,cinología
Barry,,perro,cinología
Jackie,dog,perro,cinología
Just Nuisance,dog,perro,cinología
Buddy,chocolate-colored labrador retriever (1997-2002) owned by Bill Clinton,perro,cinología
Dash (perro),dog owned by Queen Victoria,perro,cinología
Roland,Ferenc Rákóczi II's dog,perro,cinología
Koni,black Labrador Retriever owned by President of Russia Vladimir Putin,perro,cinología
Greyfriars Bobby,Skye Terrier,perro,cinología
Fala,mascota de Franklin D. Roosevelt,perro,cinología
Perro de Burlage,preserved domestic dog,perro,cinología
Rin Tin Tin,famous German Shepherd dog,perro,cinología
San Guinefort,legendary figure,perro,cinología
Lump,dog,perro,cinología
Uggie,perro de raza Jack Russell terrier,perro,cinología
Nipper,"perro mascota de las marcas HMV, RCA, y  Victor Talking Machine Company",perro,cinología
Pompey,dog,perro,cinología
Tinkerbell,A dog belonging to Paris Hilton.,perro,cinología
Melampus,,perro,cinología
Boris,,perro,cinología
Püppi,,perro,cinología
Rubia,perro,perro,cinología
Loulou,Dog,perro,cinología
Miss Beazley,Scottish Terrier owned by US presidential Bush family,perro,cinología
Loukanikos,Greek riot dog,perro,cinología
Ricky,Border Collie/Old English Sheepdog cross which served in World War II,perro,cinología
Faith,bipedal dog,perro,cinología
Malchik,stray mongrel stabbed to death at the Moscow Metro,perro,cinología
Baltique,,perro,cinología
Bluey,dog,perro,cinología
Buccleuch Avon,,perro,cinología
Barney,perro de George W. Bush,perro,cinología
Bamse,St. Bernard dog that became the heroic mascot of the Free Norwegian Force,perro,cinología
Péritas,perro de Alejandro Magno,perro,cinología
Saucisse,,perro,cinología
Madison,Labrador Retriever and animal actor,perro,cinología
Koko,Australian Kelpie film actor and fundraiser,perro,cinología
Blair,,perro,cinología
Koton,German Shepherd police dog and actor dog,perro,cinología
Fido,perro,perro,cinología
Vitagraph Dog,dog actor that performed title roles in early silent films,perro,cinología
Rags,famous dog in WWI,perro,cinología
Shep,herding dog,perro,cinología
Dik,mine detector dog,perro,cinología
Giant George,blue Great Dane previously recognised as the world's tallest living dog,perro,cinología
Zemira,,perro,cinología
Q4258705,,perro,cinología
Wheely Willy,perro,perro,cinología
Millie,pet English Springer Spaniel of Barbara and George H. W. Bush,perro,cinología
Puggy,,perro,cinología
Fido,perro de Abraham Lincoln,perro,cinología
Ace el perro maravilla,dog actor,perro,cinología
Alex the Dog,,perro,cinología
Ana,search dog,perro,cinología
Anna,dog that was the  first survivor of pulmonary bypass surgery,perro,cinología
Appollo,,perro,cinología
Araki Fabulous Willy,,perro,cinología
Ballyregan Bob,greyhound,perro,cinología
Banana Joe V Tani Kazari,,perro,cinología
Beauty,rescue dog in the Second World War,perro,cinología
Betsy,"Border Collie, credited with being one of the world's most intelligent dogs",perro,cinología
Blue,Bull Terrier dog owned by Don Cherry,perro,cinología
Bob the Railway Dog,Folk icon,perro,cinología
Bobbie,British regimental mascot dog,perro,cinología
Bobbie the Wonder Dog,Legendary canine hero,perro,cinología
Boo Boo,the world's smallest dog,perro,cinología
Boxwood Barkentine,,perro,cinología
Boye,white hunting poodle belonging to Prince Rupert of the Rhine,perro,cinología
Briergate Bright Beauty,,perro,cinología
Brigitte,dog actress,perro,cinología
Buffy,pet dog of Vladimir Putin,perro,cinología
Bullseye,Bull Terrier mascot of Target Corporation,perro,cinología
Buster,dog,perro,cinología
Buster,spaniel dog (1998–2015),perro,cinología
Butler Blue,canine mascot of Butler University,perro,cinología
Caesar,dog,perro,cinología
Canigou Cambrai,,perro,cinología
Chalky,Jack Russell terrier,perro,cinología
Chanel,U.S. dachshund that held the Guinness World Records as the world's oldest dog,perro,cinología
Chaser,female Border Collie with the largest tested memory of any non-human animal,perro,cinología
Cheeka,pug That Appeared In Vodafone's Advertisement,perro,cinología
Cheeseface,dog featured on magazine cover,perro,cinología
Chips,Military dog,perro,cinología
Conejo Wycollar Boy,,perro,cinología
Cosmo,Dog actor,perro,cinología
Count Noble,famous English Setter dog,perro,cinología
Old Hemp,Border Collie,perro,cinología
Crumstone Irma,Alsatian dog,perro,cinología
Daddy,pit bull terrier americano,perro,cinología
Dempsey,"British dog, challenged British Dangerous Dogs Act 1991",perro,cinología
Taylors Sky,,perro,cinología
Terry (perro),acting dog who played Toto in The Wizard of Oz,perro,cinología
Theo,English Springer Spaniel bomb detection dog,perro,cinología
Tich,Military dog during World War II,perro,cinología
Tickle Em Jock,Scottish terrier,perro,cinología
Tillamook Cheddar,Jack Russell dog that could paint,perro,cinología
Tillman,English bulldog; Guinness World Record holder for fastest skateboarding dog,perro,cinología
Titan,American male white Great Dane,perro,cinología
Toppy,,perro,cinología
Topscore Contradiction,,perro,cinología
Torums Scarf Michael,dog,perro,cinología
Tracey Witch of Ware,,perro,cinología
Trakr,,perro,cinología
Treo,,perro,cinología
Tyson,dog famous for skateboarding,perro,cinología
Vbos The Kentuckian,,perro,cinología
Velvet,dog who helped save three climbers,perro,cinología
Westmead Hawk,,perro,cinología
Willie Bean,,perro,cinología
Yakee A Dangerous Liaison,,perro,cinología
Zeltim Odie Peterson,,perro,cinología
Zentarr Elizabeth,,perro,cinología
Zeus,dog,perro,cinología
Zorba,Record-setting dog,perro,cinología
Nevado,perro de Simón Bolívar,perro,cinología
Yoda: use the power,"dog, winner of 2011 ""World's Ugliest Dog Contest""",perro,cinología
Q11265315,,perro,cinología
Q11272045,,perro,cinología
Masao,labrador retriever; Japanese movie dog,perro,cinología
Kai-kun,Hokkaido dog actor,perro,cinología
Q11307021,,perro,cinología
Cynthia,Japanese service dog,perro,cinología
Q11315153,,perro,cinología
Champy,the first guide dog trained in Japan,perro,cinología
Pittenweem Terrier,,perro,cinología
Heiji,Japanese tourist guide dog in Oita Prefecture,perro,cinología
Q11491334,,perro,cinología
Sà pǔ,,perro,cinología
Junpei,dog,perro,cinología
Aku,perro policía,perro,cinología
Tasha,first dog whose genome was determined,perro,cinología
My Own Brucie,,perro,cinología
Owney,19th century dog and unofficial US Postal Service mascot,perro,cinología
Jed,,perro,cinología
Q12583263,,perro,cinología
Returned Baekgu,,perro,cinología
Sanggeun,,perro,cinología
Deny,perro,perro,cinología
Reginald von Ravenhorst,,perro,cinología
Max,"beagle, dachshund and terrier mix dog",perro,cinología
Master McGrath,,perro,cinología
Brinio,dog of Louis Couperus,perro,cinología
Higgins,dog actor,perro,cinología
Bob,dog that served in the Second World War,perro,cinología
Agata,,perro,cinología
Barberryhill Bootlegger,sealyham Terrier,perro,cinología
Heart-kun,,perro,cinología
Bosco the dog,"dog elected honorary mayor of Sunol, California",perro,cinología
Bing,British dog who served in World War II,perro,cinología
Cell dog,,perro,cinología
Lucky,"German Shepherd Dog, in service with the British army during the Malayan Emergency",perro,cinología
Rex,WWII search and rescue dog,perro,cinología
Thorn (dog),,perro,cinología
Brownie the Wonder Dog,dog actor that appeared in several American silent films,perro,cinología
Loteki Supernatural Being,show dog,perro,cinología
Sasha,Labrador Retriever who served as a bomb detection dog for the British Army,perro,cinología
Governor Moscow,dog,perro,cinología
Rancho Dobe's Storm,,perro,cinología
Shieling's Signature,,perro,cinología
Signal Circuit of Halleston,,perro,cinología
Tucker,dog,perro,cinología
Sidaz Jack,male Greyhound,perro,cinología
Manny the Frenchie,Canine internet celebrity,perro,cinología
Toby Rimes,poodle,perro,cinología
Juliana,Great Dane,perro,cinología
Mr. Winkle,celebrity dog,perro,cinología
Philly,American Wartime Canine,perro,cinología
Q17192313,,perro,cinología
Q17232464,,perro,cinología
Shep (Thanhauser Collie),dog which became known for appearances in Thanhouser films of the silent period,perro,cinología
Happy,dog owned by Sabine Lisicki,perro,cinología
Q17991489,,perro,cinología
Mutant Giant Spider Dog,,perro,cinología
Lupo,dog,perro,cinología
Q18233672,,perro,cinología
Star,Dog shot by police,perro,cinología
Zvyozdochka,"canine cosmonaut, last dog in space",perro,cinología
Bummer,famous dog,perro,cinología
Lazarus,famous dog,perro,cinología
Special Times Just Right,,perro,cinología
Duke the Dog,"mayor of Cormorant Township, Becker County, Minnesota",perro,cinología
Puppy,mascot of Puppy Linux,perro,cinología
Coloma,shepherd dog,perro,cinología
Lux,German shepherd owned by Tito,perro,cinología
Fufu,dog of Crown Prince Maha Vajiralongkorn,perro,cinología
Choo-tai of Egham,,perro,cinología
Sallie Ann Jarrett,,perro,cinología
Marnie,American dog,perro,cinología
McVan's To Russia With Love,,perro,cinología
Milly,World's smallest dog,perro,cinología
Diamond,"Sir Isaac Newton's favorite dog, according to legend",perro,cinología
Dog of Osu,,perro,cinología
Donnie,,perro,cinología
Dookie,dog,perro,cinología
Efbe's Hidalgo At Goodspice,Canadian dog,perro,cinología
Elwood,2007 winner of the World's Ugliest Dog Contest,perro,cinología
Endal,perro de servicio,perro,cinología
Exquisite Model of Ware,,perro,cinología
Ferry v. Rauhfelsen of Giralda,doberman Pinscher dog (1937–1943),perro,cinología
Fiacre's First and Foremost,,perro,cinología
Field Dog Stud Book,,perro,cinología
Foxcliffe Hickory Wind,,perro,cinología
Fred Basset,greyhound dog which was owned and raced by Australian comedy duo Hamish & Andy,perro,cinología
Gabi,belgrade Zoo guard dog,perro,cinología
Gander,Newfoundland dog,perro,cinología
George,New Zealand dog (died 2007),perro,cinología
Gibson,dog,perro,cinología
Gnasher,Comic strip character from The Beano,perro,cinología
Gunner,dog,perro,cinología
Haymarket Faultless,,perro,cinología
Heaven Sent Brandy,,perro,cinología
Heena,,perro,cinología
Becerrillo,perro de combate del ejército castellano,perro,cinología
Boneco,perro callejero argentino,perro,cinología
Chonino,perro policía argentino,perro,cinología
Fernando (perro),,perro,cinología
Horand von Grafrath,first German Shepherd dog,perro,cinología
Horrie the Wog Dog,,perro,cinología
Huddersfield Ben,Yorkshire terrier dog,perro,cinología
Hungargunn Bear It'n Mind,,perro,cinología
Hypnodog,,perro,cinología
Thong Daeng,the Dog of King Rama 9 of Thailand.,perro,cinología
Orion (perro),dog that rescued people,perro,cinología
Perro Paco,perro callejero popular de Madrid (España),perro,cinología
Foks,perro de Mustafa Kemal,perro,cinología
Jafrak Philippe Olivier,,perro,cinología
Ulk,perro,perro,cinología
Jet of Iada,,perro,cinología
Judy,ship's dog on board HMS Gnat and HMS Grasshopper,perro,cinología
Kabang,dog from the Philippines,perro,cinología
Kenmare Sorceress,dog,perro,cinología
Cook,perro actor,perro,cinología
Laddie Boy,airedale Terrier owned by Warren G. Harding,perro,cinología
Lex,Military K-9,perro,cinología
Lightning,German shepherd who appeared in silent and sound films,perro,cinología
Lucky Diamond,Female dog,perro,cinología
Luckystar of Ware,,perro,cinología
Maida,Dog Crossbreed between a Deerhound and Wolfdog.,perro,cinología
Matford Vic,,perro,cinología
Skippy,Wire Fox Terrier dog actor,perro,cinología
Midkiff Seductive,,perro,cinología
Miss Ellie,,perro,cinología
Spot Fetcher,dog of President George W. Bush,perro,cinología
Nemo A534,German Shepherd dog who served in the US Air Force during the Vietnam War,perro,cinología
Nigger,perro mascota labrador retriever,perro,cinología
Obo II,first American Cocker Spaniel,perro,cinología
Old Jock,"English show dog, 1859–1871",perro,cinología
Orca,,perro,cinología
Otto,dachshund-terrier cross,perro,cinología
Paddy the Wanderer,,perro,cinología
Pal,perro collie de pelo largo,perro,cinología
Palacegarden Malachy,,perro,cinología
Pepper,"dalmatian dog from Pennsylvania, United States",perro,cinología
Pete the Pup,Our Gang Dog,perro,cinología
Rajah,working and performance dog in New Zealand during the 1930s,perro,cinología
Rapid Ranger,,perro,cinología
Rex,perro propiedad de Ronald y Nancy Reagan,perro,cinología
Rifleman Khan,military dog,perro,cinología
Rigel (RMS Titanic),dog,perro,cinología
Rip,"mixed-breed terrier, was a Second World War search and rescue dog who was awarded the Dickin Medal for bravery",perro,cinología
Rob,Collie dog,perro,cinología
Rocky Top's Sundance Kid,,perro,cinología
Rolf,German Airedale terrier claimed to have been able to perform arithmetic and communicate with humans on an intellectual level,perro,cinología
Smoky,dog who served in World War II,perro,cinología
Roundtown Mercedes of Maryscot,,perro,cinología
Ruppy,,perro,cinología
Sabine Rarebit,smooth coated Fox Terrier dog,perro,cinología
Sadie,black Labrador Retriever,perro,cinología
Salilyn's Condor,English Springer spaniel,perro,cinología
Salilyn 'N Erin's Shameless,English Springer Spaniel,perro,cinología
Salty y Roselle,working Guide Dogs in 9/11,perro,cinología
Sam,army dog,perro,cinología
Sam,blind pure-bred Chinese Crested hairless dog,perro,cinología
Sarbi,Australian explosives detection dog,perro,cinología
Scurlogue Champ,greyhound,perro,cinología
Seaman (perro Terranova),Named canis familiaris,perro,cinología
Shep,"dog featured on ""Blue Peter""",perro,cinología
Shiba Inu Puppy Cam,Online viral video/series website,perro,cinología
Sinbad,mixed-breed dog that was one of two animals to be classified as non-commissioned officers by an arm of the United States military,perro,cinología
Slumber,Old English Sheepdog,perro,cinología
Snip Nua,,perro,cinología
Soccer,Jack Russell Terrier dog actor,perro,cinología
Soletrader Peek A Boo,,perro,cinología
Spike,Lop-eared yellow Mastador,perro,cinología
Strathtay Prince Albert,English Bulldog,perro,cinología
Susan,dog owned by Queen Elizabeth II,perro,cinología
Sutter Brown,,perro,cinología
Swansea Jack,Welsh dog known for rescuing humans,perro,cinología
Sykes,dog actor,perro,cinología
Taco Bell chihuahua,advertising figure and mascot for Taco Bell,perro,cinología
Snowy,tracking dog for the Sri Lanka Army,perro,cinología
Surf Dog Ricochet,"surfing dog from San Diego, USA",perro,cinología
Tuna,famous dog,perro,cinología
Arthur (perro),Ecuadorian street dog who attached himself to a Swedish extreme sports team,perro,cinología
Darla,dog actor,perro,cinología
Doug the Pug,American celebrity dog,perro,cinología
Zuyaqui,Mexican dog,perro,cinología
Q21657916,,perro,cinología
Diesel,assault dog employed by the French police,perro,cinología
Teddy (perro),dog actor,perro,cinología
K9 Killer,,perro,cinología
Angel,,perro,cinología
Kabosu,perra,perro,cinología
Dianka,"Ivan Turgenev's dog, depicted in A Sportsman's Sketches",perro,cinología
Napel,Dog belonging to Ivan Turgenev,perro,cinología
Mumu,"dog, a prototype of Mumu in Turgenev's “Mumu”",perro,cinología
Baxter,former first dog of Maine,perro,cinología
Nigel,dog belonging to UK TV gardener Monty Don,perro,cinología
Q24876723,,perro,cinología
Rob Roy,collie owned by Calvin Coolidge,perro,cinología
Norbert,therapy dog,perro,cinología
Fidèle,"famous dog and tourist attraction in Bruges, Belgium",perro,cinología
Bella,"labrador, one of world's longest-lived dogs",perro,cinología
Chiro,Akira Fujii's dog,perro,cinología
Yume,pet dog of Vladimir Putin,perro,cinología
Q27920551,,perro,cinología
Bretagne,Golden Retriever dog,perro,cinología
Fernando Bale,,perro,cinología
Burneze Geordie Girl,dog,perro,cinología
Carlos,perro actor,perro,cinología
Gobi,dog,perro,cinología
Clément,Welsh Corgi Pembroke belonging to Michel Houellebecq,perro,cinología
Bogus,dog actor,perro,cinología
Pecas,perro de Esperanza Aguirre,perro,cinología
Biche,dog belonging to King Friedrich II of Prussia,perro,cinología
Willie,Patton family dog,perro,cinología
Q30936877,,perro,cinología
Alcmène,,perro,cinología
Trump,"perro, el pug y modelo del artista William Hogarth",perro,cinología
Taro,,perro,cinología
Jiro,,perro,cinología
Nemo,perro de Emmanuel y Brigitte Macron,perro,cinología
Jet,dog,perro,cinología
Spanish Battleship,,perro,cinología
Luke the Dog,fictional character,perro,cinología
Winston,dog actor,perro,cinología
Paisley,dog actor,perro,cinología
Manly Ortega,dog actor,perro,cinología
Lennu,dog of Sauli Niinistö and Jenni Haukio,perro,cinología
Susie Williams,canine hypoglycaemia alarm,perro,cinología
Candy Williams,canine hypoglycaemia alarm,perro,cinología
Pochi,Dog,perro,cinología
Patricias Hope,,perro,cinología
Gidget,,perro,cinología
Naoji,,perro,cinología
Ranger,dog of President George H.W. Bush,perro,cinología
Lucky,dog of President Ronald Reagan,perro,cinología
Chico,,perro,cinología
Help,dog,perro,cinología
Akil,dog killed in Bardo National Museum Attack,perro,cinología
Giro,terrier dog that belonged to the German ambassador to the United Kingdom,perro,cinología
Waghya,pet dog of Maratha king Shivaji,perro,cinología
Matisse,performing dog,perro,cinología
The Very Old,John Cowper Powys's dog,perro,cinología
Riley,Dog,perro,cinología
Bunkou,Japanese fire dog,perro,cinología
Lampo,Italian dog,perro,cinología
Tinkerbelle,canine model,perro,cinología
Frida,Mexican rescue dog,perro,cinología
Trip Hazard,dog - Britain's Got Talent 2016 finalists,perro,cinología
Fricka,,perro,cinología
