imagen,video,audio,animalLabel
,,,Diamond
,,,Dog of Osu
,,,Donnie
,,,Dookie
,,,Efbe's Hidalgo At Goodspice
,,,Elwood
http://commons.wikimedia.org/wiki/Special:FilePath/Endal%20Dickin.jpg,,,Endal
,,,Exquisite Model of Ware
,,,Ferry v. Rauhfelsen of Giralda
,,,Fiacre's First and Foremost
,,,Field Dog Stud Book
,,,Foxcliffe Hickory Wind
,,,Fred Basset
http://commons.wikimedia.org/wiki/Special:FilePath/Gabi.jpg,,,Gabi
,,,Gander
,,,George
,,,Gibson
,,,Gnasher
http://commons.wikimedia.org/wiki/Special:FilePath/Gunner%20%28dog%29.jpg,,,Gunner
http://commons.wikimedia.org/wiki/Special:FilePath/Faultless.jpg,,,Haymarket Faultless
,,,Heaven Sent Brandy
,,,Heena
,,,Becerrillo
,,,Boneco
,,,Chonino
http://commons.wikimedia.org/wiki/Special:FilePath/Perro%20Fernando.jpg,,,Fernando (perro)
http://commons.wikimedia.org/wiki/Special:FilePath/Horand%20von%20Grafrath%20SZ1%20aka%20Hektor%20Linksrheim.jpg,,,Horand von Grafrath
http://commons.wikimedia.org/wiki/Special:FilePath/Horrie%20Dog.jpg,,,Horrie the Wog Dog
,,,Huddersfield Ben
,,,Hungargunn Bear It'n Mind
,,,Hypnodog
http://commons.wikimedia.org/wiki/Special:FilePath/IMG%207373%20%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%99%E0%B8%B1%E0%B8%82%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B9%89%E0%B8%A2%E0%B8%87%20Dogs%20of%20King%20Rama%209%20Photographed%20by%20Trisorn%20Triboon.jpg,,,Thong Daeng
,,,Orion (perro)
http://commons.wikimedia.org/wiki/Special:FilePath/Perro-Paco.jpg,,,Perro Paco
http://commons.wikimedia.org/wiki/Special:FilePath/1930%20Yalova%20visit.jpg,,,Foks
,,,Jafrak Philippe Olivier
http://commons.wikimedia.org/wiki/Special:FilePath/Arturo%20Alessandri-decada%201930.jpg,,,Ulk
http://commons.wikimedia.org/wiki/Special:FilePath/Jet%20of%20Iada.jpg,,,Jet of Iada
http://commons.wikimedia.org/wiki/Special:FilePath/Judy%20hu%2042990.jpg,,,Judy
,,,Kabang
,,,Kenmare Sorceress
http://commons.wikimedia.org/wiki/Special:FilePath/Premios%20Goya%202018%20-%20Pancho.jpg,,,Cook
http://commons.wikimedia.org/wiki/Special:FilePath/Laddie%20Boy%20portrait%20crop.jpg,,,Laddie Boy
http://commons.wikimedia.org/wiki/Special:FilePath/Dustin%20J.%20Lee%20with%20Lex%20in%20Iraq.jpg,,,Lex
,,,Lightning
,,,Lucky Diamond
,,,Luckystar of Ware
,,,Maida
,,,Matford Vic
http://commons.wikimedia.org/wiki/Special:FilePath/Asta%20in%20After%20the%20Thin%20Man%20trailer.jpg,,,Skippy
,,,Midkiff Seductive
,,,Miss Ellie
http://commons.wikimedia.org/wiki/Special:FilePath/Spot%20Fetcher%202.jpg,,,Spot Fetcher
,,,Nemo A534
,,,Nigger
,,,Obo II
,,,Old Jock
,,,Orca
,,,Otto
,,,Paddy the Wanderer
http://commons.wikimedia.org/wiki/Special:FilePath/Pal%20as%20Lassie%201942.JPG,,,Pal
,,,Palacegarden Malachy
,,,Pepper
http://commons.wikimedia.org/wiki/Special:FilePath/Schools-out-our-gang-1930.jpg,,,Pete the Pup
,,,Rajah
http://commons.wikimedia.org/wiki/Special:FilePath/Rapid-ranger-gideon-hart.jpg,,,Rapid Ranger
http://commons.wikimedia.org/wiki/Special:FilePath/Rex%20Cavalier%20King%20Charles%20Spaniel.jpg,,,Rex
,,,Rifleman Khan
,,,Rigel (RMS Titanic)
http://commons.wikimedia.org/wiki/Special:FilePath/Rip%20Dicken%20Medal%20Dog%20IWM%20D%205937crop.jpg,,,Rip
,,,Rob
http://commons.wikimedia.org/wiki/Special:FilePath/Loz%20rocky2.JPG,,,Rocky Top's Sundance Kid
,,,Rolf
,,,Smoky
,,,Roundtown Mercedes of Maryscot
,,,Ruppy
http://commons.wikimedia.org/wiki/Special:FilePath/Sabinerarebit.jpg,,,Sabine Rarebit
,,,Sadie
,,,Salilyn's Condor
,,,Salilyn 'N Erin's Shameless
,,,Salty y Roselle
,,,Sam
,,,Sam
,,,Sarbi
,,,Scurlogue Champ
http://commons.wikimedia.org/wiki/Special:FilePath/Dog%20Statue%20%28Columbia%20County%2C%20Oregon%20scenic%20images%29%20%28colDA0060a%29.jpg,,,Seaman (perro Terranova)
,,,Shep
,,,Shiba Inu Puppy Cam
http://commons.wikimedia.org/wiki/Special:FilePath/Sinbad%20USCG%20publicity%20still.jpg,,,Sinbad
http://commons.wikimedia.org/wiki/Special:FilePath/Slumber%20old%20english%20sheepdog.jpg,,,Slumber
,,,Snip Nua
,,,Soccer
,,,Soletrader Peek A Boo
http://commons.wikimedia.org/wiki/Special:FilePath/Brian%20Keith%20The%20Westerner%201960.JPG,,,Spike
http://commons.wikimedia.org/wiki/Special:FilePath/Ch%20Strathtay%20Prince%20Albert.jpg,,,Strathtay Prince Albert
,,,Susan
http://commons.wikimedia.org/wiki/Special:FilePath/Sutter%20Brown.jpg,,,Sutter Brown
,,,Swansea Jack
http://commons.wikimedia.org/wiki/Special:FilePath/Sykes%20Dog%20Actor.JPG,,,Sykes
,,,Taco Bell chihuahua
,,,Poupeto
,,,Zoe
http://commons.wikimedia.org/wiki/Special:FilePath/Wasao.jpg,,,Wasao
